sample,gt_notes,gt_midi,fft_f1,fft_res,fft_n,smr_f1,smr_res,smr_n,uni_f1,uni_res,uni_n,mut_f1,mut_res,mut_n
11,3,"[52, 54, 69]",0.24999999999997916,14.086563650712334,12,0.19999999999998,11.526289210446649,10,0.9999999999996666,0.018227252149411087,3,0.9999999999996666,0.018227251884508324,3
12,3,"[68, 75, 87]",0.24999999999997916,20.812425363517058,12,0.3333333333332963,16.137788852538844,9,0.9999999999996666,0.022674490168528592,3,0.9999999999996666,0.022674490168528592,3
13,3,"[60, 76, 94]",0.24999999999997916,13.09477159358749,12,0.3333333333332963,14.664996094413535,9,0.9999999999996666,0.015282218967844404,3,0.9999999999996666,0.015282218967844404,3
14,3,"[48, 57, 91]",0.24999999999997916,13.605196079394695,12,0.19999999999998,15.296466063586232,10,0.9999999999996666,0.01681309521807706,3,0.9999999999996666,0.01681309521807706,3
15,4,"[54, 64, 73, 91]",0.33333333333330556,17.164948942183248,12,0.3333333333332963,14.73860370250531,9,0.99999999999975,0.02115690713422817,4,0.99999999999975,0.02115690713422817,4
16,4,"[45, 46, 55, 77]",0.16666666666665278,20.706681905487052,12,0.3333333333332963,10.094734665300704,9,0.99999999999975,0.021417695833091707,4,0.99999999999975,0.021417695833091707,4
17,3,"[58, 62, 76]",0.24999999999997916,18.386241698455713,12,0.22222222222219754,21.092667705278345,9,0.9999999999996666,0.03177595239890319,3,0.9999999999996666,0.03177595038459679,3
18,2,"[54, 96]",0.19999999999998,19.532845806344554,10,0.19999999999998,16.50871507878372,10,0.9999999999995,0.016362902827147204,2,0.9999999999995,0.016362902827147204,2
19,4,"[42, 57, 73, 82]",0.24999999999997916,16.22595722241234,12,0.3333333333332963,9.334349743727639,9,0.99999999999975,0.025078622502294427,4,0.99999999999975,0.025078622859379514,4
20,2,"[36, 90]",0.16666666666665278,13.654773266227995,12,0.09999999999999,18.91541129564404,10,0.9999999999995,0.014714066221771117,2,0.9999999999995,0.014714066221771117,2
21,2,"[37, 50]",0.11111111111109877,22.04784776849674,9,0.11111111111109877,15.859794644091595,9,0.9999999999995,0.02539109747785925,2,0.2499999999999375,6.323341712528281,4
22,6,"[40, 52, 55, 66, 86, 95]",0.33333333333330556,15.675274036508931,12,0.39999999999996,11.46936410593167,10,0.9999999999998334,0.011804425091014089,6,0.9999999999998334,0.011804425091014089,6
23,4,"[56, 87, 88, 93]",0.33333333333330556,12.338148060232498,12,0.3333333333332963,16.07440297437395,9,0.99999999999975,0.010869755624122835,4,0.99999999999975,0.010869755624122835,4
24,2,"[62, 83]",0.16666666666665278,15.136911216788542,12,0.22222222222219754,14.351291481140517,9,0.9999999999995,0.013921984425126146,2,0.9999999999995,0.013921984425126146,2
25,4,"[48, 60, 82, 89]",0.33333333333330556,9.129969697691612,12,0.3333333333332963,13.581087455554192,9,0.99999999999975,0.012111429813275964,4,0.99999999999975,0.012111429813275964,4
26,4,"[40, 46, 48, 73]",0.24999999999997916,18.501002026020135,12,0.18181818181816528,10.241737897282514,11,0.2499999999999375,4.765716115656469,4,0.99999999999975,0.02355462508343566,4
27,3,"[42, 67, 88]",0.24999999999997916,16.225492112238623,12,0.22222222222219754,14.958872456655662,9,0.9999999999996666,0.017020924398643528,3,0.9999999999996666,0.017020924398643528,3
28,4,"[55, 72, 75, 88]",0.33333333333330556,10.538291685873789,12,0.39999999999996,7.548000966700831,10,0.99999999999975,0.00788554017864999,4,0.99999999999975,0.00788554017864999,4
